Date,Appt Time,City,State,Status,Total Sale,After MS Tax,Commission,Financing,Total Windows,Sold Windows,PPU,Color,Grids,Month,week_start_mon,Pitch,Job Number,Install Paid,Was Follow-Up,Series
5/18/2026,6:00:00 PM,Memphis,TN,No Sale - Follow Up,,,,,22,,,Almond,Clear View,,,Yes,,,TRUE,
5/18/2026,10:00:00 AM,West Helena,AR,Not Sold,,,,,14,,,Earth Tone,Half and Half,,,Yes,,,FALSE,
5/19/2026,2:00:00 PM,Memphis,TN,Not Sold,,,,,10,,,Almond,Clear View,,,Yes,,,FALSE,
5/19/2026,6:00:00 PM,Jackson,TN,One Leg,,,,,,,,,,,,Yes,,,FALSE,
5/19/2026,6:00:00 PM,Trumann,AR,Cancelled,,,,,,,,,,,,No,,,FALSE,
5/20/2026,6:00:00 PM,Osceola,AR,Sold,"$17,700.00",,"$1,770.00",Watercress,11,11,"$1,609.09",Earth Tone,Clear View,,,Yes,,,FALSE,
5/20/2026,5:00:00 PM,Memphis,TN,Cancelled,,,,,,,,,N/A,,,No,,,FALSE,
5/20/2026,2:00:00 PM,Marion,AR,Cancelled,,,,,,,,,N/A,,,No,,,FALSE,
5/20/2026,10:00:00 AM,West Memphis,AR,Not Sold,,,,,7,,,Almond,Clear View,,,Yes,,,FALSE,
5/21/2026,11:30:00 AM,Luxora,AR,Not Sold,,,,,20,,,White,Clear View,,,Yes,,,FALSE,
5/21/2026,6:00:00 PM,Trumann,AR,Rescinded,"$11,996.00",,$0.00,Watercress,6,6,"$1,999.33",Earth Tone,Clear View,,,Yes,,,FALSE,
5/27/2026,2:00:00 PM,Blytheville,AR,Not Sold,,,,,13,,,White,Half and Half,,,Yes,,,FALSE,
5/27/2026,6:00:00 PM,Bono,AR,Rescheduled,,,,,,,,,N/A,,,No,,,FALSE,
5/27/2026,9:00:00 AM,Memphis,TN,No Show,,,,,,,,,N/A,,,No,,,FALSE,
5/27/2026,5:00:00 PM,Memphis,TN,Cancelled,,,,,,,,,N/A,,,No,,,FALSE,
5/28/2026,6:00:00 PM,Memphis,TN,Not Sold,,,,,11,,,Earth Tone,Clear View,,,Yes,,,FALSE,
5/28/2026,10:00:00 AM,Memphis,TN,Not Sold,,,,,8,,,Sand Stone,Clear View,,,Yes,,,FALSE,
5/29/2026,1:00:00 PM,Memphis,TN,Not Sold,,,,,16,,,White,Clear View,,,Yes,,,FALSE,
5/30/2026,10:00:00 AM,Memphis,TN,Sold,"$10,000.00",,"$1,200.00",GreenSky,14,7,"$1,428.57",White,Clear View,,,Yes,,,FALSE,Gold
5/30/2026,4:30:00 PM,Marion,AR,Sold,"$23,767.00",,"$2,376.70",GoodLeap,13,13,"$1,828.23",Sand Stone,Clear View,,,Yes,,,FALSE,Gold
6/1/2026,2:00:00 PM,Forrest City,AR,Cancelled,,,,,,,,,Clear View,,,No,,,FALSE,
6/1/2026,6:30:00 PM,Cordova,TN,Not Sold,,,,,23,,,Almond,Clear View,,,Yes,,,FALSE,
6/2/2026,10:00:00 AM,Cordova,TN,Not Sold,,,,,6,,,Almond,Clear View,,,Yes,,,FALSE,
6/2/2026,2:00:00 PM,Millington,TN,Not Sold,,,,,12,,,Almond,Clear View,,,Yes,,,FALSE,
6/3/2026,3:00:00 PM,Memphis,TN,Rescinded,"$11,658.00",,$0.00,Cash,6,6,"$1,943.00",White,Clear View,,,Yes,,,FALSE,Gold
6/3/2026,7:00:00 PM,Blytheville,AR,Rescheduled,,,,,,,,,Clear View,,,No,,,FALSE,
6/17/2026,6:00:00 PM,West Memphis,Arkansas,No Show,,,,,,,,,,,,No,,,FALSE,
6/17/2026,2:00:00 PM,Cordova,TN,Rescheduled,,,,,,,,,Clear View,,,No,,,FALSE,
6/18/2026,10:00:00 AM,Wynne,AR,NG,"$6,964.00",,$0.00,NG,4,4,"$1,741.00",White,Clear View,,,Yes,,,FALSE,
